[1442082600] LOG ROTATION: DAILY
[1442082600] LOG VERSION: 2.0
[1442082600] CURRENT HOST STATE: ad.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.91 ms
[1442082600] CURRENT HOST STATE: application.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.14 ms
[1442082600] CURRENT HOST STATE: artifactory.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.53 ms
[1442082600] CURRENT HOST STATE: cisco;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.92 ms
[1442082600] CURRENT HOST STATE: confluence.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.38 ms
[1442082600] CURRENT HOST STATE: git.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.45 ms
[1442082600] CURRENT HOST STATE: jenkins.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.47 ms
[1442082600] CURRENT HOST STATE: jira.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.45 ms
[1442082600] CURRENT HOST STATE: localhost;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.05 ms
[1442082600] CURRENT HOST STATE: mail.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.38 ms
[1442082600] CURRENT SERVICE STATE: artifactory.plank.life;MYSQL SLAVE-IO-RUNNING;OK;HARD;1;Please select a mode
[1442082600] CURRENT SERVICE STATE: artifactory.plank.life;MYSQL threads-connected;OK;HARD;1;Please select a mode
[1442082600] CURRENT SERVICE STATE: artifactory.plank.life;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.58 ms
[1442082600] CURRENT SERVICE STATE: artifactory.plank.life;Root Partition;OK;HARD;1;DISK OK - free space: / 10320 MB (60% inode=87%):
[1442082600] CURRENT SERVICE STATE: artifactory.plank.life;SSH;UNKNOWN;HARD;4;Usage:
[1442082600] CURRENT SERVICE STATE: artifactory.plank.life;Swap Usage;OK;HARD;1;SWAP OK - 100% free (2007 MB out of 2007 MB)
[1442082600] CURRENT SERVICE STATE: artifactory.plank.life;TCP;OK;HARD;1;TCP OK - 0.001 second response time on port 5543
[1442082600] CURRENT SERVICE STATE: artifactory.plank.life;TIME;UNKNOWN;HARD;3;Connection refused
[1442082600] CURRENT SERVICE STATE: artifactory.plank.life;TOMCAT THREADS COUNT;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: artifactory.plank.life;Tomcat heap memory used;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: artifactory.plank.life;Tomcat loaded classes count;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: artifactory.plank.life;Tomcat non-heap memory used;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: artifactory.plank.life;Tomcat total active sessions;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: artifactory.plank.life;Total Processes;OK;HARD;1;PROCS OK: 51 processes with STATE = RSZDT
[1442082600] CURRENT SERVICE STATE: cisco;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.67 ms
[1442082600] CURRENT SERVICE STATE: cisco;Port 1 Link Status;UNKNOWN;HARD;3;External command error: MIB search path: $HOME/.snmp/mibs:/usr/share/snmp/mibs:/usr/share/snmp/mibs/iana:/usr/share/snmp/mibs/ietf:/usr/share/mibs/site:/usr/share/snmp/mibs:/usr/share/mibs/iana:/usr/share/mibs/ietf:/usr/share/mibs/netsnmp
[1442082600] CURRENT SERVICE STATE: cisco;Uptime;CRITICAL;HARD;3;(Service check timed out after 60.01 seconds)
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;APT DISTRIBUTIONS;OK;HARD;1;APT OK: 0 packages available for dist-upgrade (0 critical updates).
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;APT PACKAGES;OK;HARD;1;APT OK: 0 packages available for upgrade (0 critical updates).
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;CHECK HEAP;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;CHECK TOMCAT APPLICATION;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;CHECK TOMCAT MEMORY/THREADS;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;Current Load;OK;HARD;1;OK - load average: 0.00, 0.02, 0.05
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;Current Users;OK;HARD;1;USERS OK - 0 users currently logged in
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;DNS;OK;HARD;1;DNS OK: 15.009 seconds response time. www.google.com returns
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;DNS USING DIG;WARNING;HARD;3;DNS WARNING - 15.009 seconds response time (dig returned an error status)
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;HTTP;CRITICAL;HARD;4;connect to address 10.0.0.29 and port 80: Connection refused
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;HTTPS;CRITICAL;HARD;3;Connection refused
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;LDAP;CRITICAL;HARD;3;Could not bind to the LDAP server
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;MYSQL CONNECTION TIME;OK;HARD;1;Please select a mode
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;MYSQL Database;CRITICAL;HARD;3;Can't connect to MySQL server on '10.0.0.29' (111)
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;MYSQL SLAVE SQL RUNNING;OK;HARD;1;Please select a mode
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;MYSQL SLAVE-IO-RUNNING;OK;HARD;1;Please select a mode
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;MYSQL threads-connected;OK;HARD;1;Please select a mode
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.44 ms
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;Root Partition;OK;HARD;1;DISK OK - free space: / 10320 MB (60% inode=87%):
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;SSH;UNKNOWN;HARD;4;Usage:
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;Swap Usage;OK;HARD;1;SWAP OK - 100% free (2007 MB out of 2007 MB)
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;TCP;OK;HARD;1;TCP OK - 0.001 second response time on port 5543
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;TIME;UNKNOWN;HARD;3;Connection refused
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;TOMCAT THREADS COUNT;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;Tomcat heap memory used;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;Tomcat loaded classes count;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;Tomcat non-heap memory used;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;Tomcat total active sessions;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: confluence.plank.life;Total Processes;OK;HARD;1;PROCS OK: 53 processes with STATE = RSZDT
[1442082600] CURRENT SERVICE STATE: git.plank.life;APT DISTRIBUTIONS;OK;HARD;1;APT OK: 0 packages available for dist-upgrade (0 critical updates).
[1442082600] CURRENT SERVICE STATE: git.plank.life;APT PACKAGES;OK;HARD;1;APT OK: 0 packages available for upgrade (0 critical updates).
[1442082600] CURRENT SERVICE STATE: git.plank.life;CHECK HEAP;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: git.plank.life;CHECK TOMCAT APPLICATION;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: git.plank.life;CHECK TOMCAT MEMORY/THREADS;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: git.plank.life;Current Load;OK;HARD;1;OK - load average: 0.00, 0.02, 0.05
[1442082600] CURRENT SERVICE STATE: git.plank.life;Current Users;OK;HARD;1;USERS OK - 0 users currently logged in
[1442082600] CURRENT SERVICE STATE: git.plank.life;DNS;OK;HARD;1;DNS OK: 15.014 seconds response time. www.google.com returns
[1442082600] CURRENT SERVICE STATE: git.plank.life;DNS USING DIG;WARNING;HARD;3;DNS WARNING - 15.010 seconds response time (dig returned an error status)
[1442082600] CURRENT SERVICE STATE: git.plank.life;HTTP;CRITICAL;HARD;4;connect to address 10.0.0.28 and port 80: Connection refused
[1442082600] CURRENT SERVICE STATE: git.plank.life;HTTPS;CRITICAL;HARD;3;Connection refused
[1442082600] CURRENT SERVICE STATE: git.plank.life;LDAP;CRITICAL;HARD;3;Could not bind to the LDAP server
[1442082600] CURRENT SERVICE STATE: git.plank.life;MYSQL CONNECTION TIME;OK;HARD;1;Please select a mode
[1442082600] CURRENT SERVICE STATE: git.plank.life;MYSQL Database;CRITICAL;HARD;3;Can't connect to MySQL server on '10.0.0.28' (111)
[1442082600] CURRENT SERVICE STATE: git.plank.life;MYSQL SLAVE SQL RUNNING;OK;HARD;1;Please select a mode
[1442082600] CURRENT SERVICE STATE: git.plank.life;MYSQL SLAVE-IO-RUNNING;OK;HARD;1;Please select a mode
[1442082600] CURRENT SERVICE STATE: git.plank.life;MYSQL threads-connected;OK;HARD;1;Please select a mode
[1442082600] CURRENT SERVICE STATE: git.plank.life;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.52 ms
[1442082600] CURRENT SERVICE STATE: git.plank.life;Root Partition;OK;HARD;1;DISK OK - free space: / 10320 MB (60% inode=87%):
[1442082600] CURRENT SERVICE STATE: git.plank.life;SSH;UNKNOWN;HARD;4;Usage:
[1442082600] CURRENT SERVICE STATE: git.plank.life;Swap Usage;OK;HARD;1;SWAP OK - 100% free (2007 MB out of 2007 MB)
[1442082600] CURRENT SERVICE STATE: git.plank.life;TCP;OK;HARD;1;TCP OK - 0.001 second response time on port 5543
[1442082600] CURRENT SERVICE STATE: git.plank.life;TIME;UNKNOWN;HARD;3;Connection refused
[1442082600] CURRENT SERVICE STATE: git.plank.life;TOMCAT THREADS COUNT;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: git.plank.life;Tomcat heap memory used;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: git.plank.life;Tomcat loaded classes count;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: git.plank.life;Tomcat non-heap memory used;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: git.plank.life;Tomcat total active sessions;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: git.plank.life;Total Processes;OK;HARD;1;PROCS OK: 54 processes with STATE = RSZDT
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;APT DISTRIBUTIONS;OK;HARD;1;APT OK: 0 packages available for dist-upgrade (0 critical updates).
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;APT PACKAGES;OK;HARD;1;APT OK: 0 packages available for upgrade (0 critical updates).
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;CHECK HEAP;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;CHECK TOMCAT APPLICATION;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;CHECK TOMCAT MEMORY/THREADS;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;Current Load;OK;HARD;1;OK - load average: 0.00, 0.01, 0.05
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;Current Users;OK;HARD;1;USERS OK - 0 users currently logged in
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;DNS;OK;HARD;1;DNS OK: 15.009 seconds response time. www.google.com returns
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;DNS USING DIG;WARNING;HARD;3;DNS WARNING - 15.010 seconds response time (dig returned an error status)
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;HTTP;CRITICAL;HARD;4;connect to address 10.0.0.25 and port 80: Connection refused
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;HTTPS;CRITICAL;HARD;3;Connection refused
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;LDAP;CRITICAL;HARD;3;Could not bind to the LDAP server
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;MYSQL CONNECTION TIME;OK;HARD;1;Please select a mode
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;MYSQL Database;CRITICAL;HARD;3;Can't connect to MySQL server on '10.0.0.25' (111)
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;MYSQL SLAVE SQL RUNNING;OK;HARD;1;Please select a mode
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;MYSQL SLAVE-IO-RUNNING;OK;HARD;1;Please select a mode
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;MYSQL threads-connected;OK;HARD;1;Please select a mode
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.52 ms
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;Root Partition;OK;HARD;1;DISK OK - free space: / 10320 MB (60% inode=87%):
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;SSH;UNKNOWN;HARD;4;Usage:
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;Swap Usage;OK;HARD;1;SWAP OK - 100% free (2007 MB out of 2007 MB)
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;TCP;OK;HARD;1;TCP OK - 0.001 second response time on port 5543
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;TIME;UNKNOWN;HARD;3;Connection refused
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;TOMCAT THREADS COUNT;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;Tomcat heap memory used;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;Tomcat loaded classes count;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;Tomcat non-heap memory used;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;Tomcat total active sessions;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: jenkins.plank.life;Total Processes;OK;HARD;1;PROCS OK: 52 processes with STATE = RSZDT
[1442082600] CURRENT SERVICE STATE: jira.plank.life;APT DISTRIBUTIONS;OK;HARD;1;APT OK: 0 packages available for dist-upgrade (0 critical updates).
[1442082600] CURRENT SERVICE STATE: jira.plank.life;APT PACKAGES;OK;HARD;1;APT OK: 0 packages available for upgrade (0 critical updates).
[1442082600] CURRENT SERVICE STATE: jira.plank.life;CHECK HEAP;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: jira.plank.life;CHECK TOMCAT APPLICATION;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: jira.plank.life;CHECK TOMCAT MEMORY/THREADS;UNKNOWN;HARD;3;(No output returned from plugin)
[1442082600] CURRENT SERVICE STATE: jira.plank.life;Current Load;OK;HARD;1;OK - load average: 0.00, 0.01, 0.05
[1442082600] CURRENT SERVICE STATE: jira.plank.life;Current Users;OK;HARD;1;USERS OK - 0 users currently logged in
[1442082600] CURRENT SERVICE STATE: jira.plank.life;DNS;OK;HARD;1;DNS OK: 15.010 seconds response time. www.google.com returns
[1442082600] CURRENT SERVICE STATE: jira.plank.life;DNS USING DIG;WARNING;HARD;3;DNS WARNING - 15.009 seconds response time (dig returned an error status)
[1442082600] CURRENT SERVICE STATE: jira.plank.life;HTTP;CRITICAL;HARD;4;CRITICAL - Socket timeout after 10 seconds
[1442082600] CURRENT SERVICE STATE: jira.plank.life;HTTPS;CRITICAL;HARD;3;CRITICAL - Socket timeout after 20 seconds
[1442082600] CURRENT SERVICE STATE: jira.plank.life;LDAP;CRITICAL;HARD;3;CRITICAL - Socket timeout after 20 seconds
